Site,File,Deployment,Type,DateTime,Guild,Species,Count,Position,Tide,Foraging,Handling,sunrise,sunset,sintime,costime
BRAD,20220526_BRAD_R_05806.JPG,20220526_BRAD_R,Reference,2022-05-17T14:54:01Z,Wading Bird,Yellow-crowned Night Heron,1,Vegetation,Low,FALSE,FALSE,2022-05-17T05:55:37Z,2022-05-17T20:07:32Z,-0.4028474817522841,-0.9152671230006261
BRAD,20220526_BRAD_R_05807.JPG,20220526_BRAD_R,Reference,2022-05-17T14:55:01Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Low,FALSE,FALSE,2022-05-17T05:55:37Z,2022-05-17T20:07:32Z,-0.40622000949017206,-0.9137753027357461
BRAD,20220526_BRAD_R_05808.JPG,20220526_BRAD_R,Reference,2022-05-17T14:56:01Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Low,FALSE,FALSE,2022-05-17T05:55:37Z,2022-05-17T20:07:32Z,-0.4095870128508033,-0.9122710556100944
BRAD,20220526_BRAD_R_05809.JPG,20220526_BRAD_R,Reference,2022-05-17T14:57:01Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Low,FALSE,FALSE,2022-05-17T05:55:37Z,2022-05-17T20:07:32Z,-0.41294844604471265,-0.9107544020806362
BRAD,20220526_BRAD_R_05876.JPG,20220526_BRAD_R,Reference,2022-05-17T16:04:02Z,Wading Bird,Yellow-crowned Night Heron,1,Mudflat,Low,FALSE,FALSE,2022-05-17T05:55:37Z,2022-05-17T20:07:32Z,-0.6232014397088323,-0.7820613566369576
BRAD,20220526_BRAD_R_05877.JPG,20220526_BRAD_R,Reference,2022-05-17T16:05:01Z,Wading Bird,Yellow-crowned Night Heron,1,Mudflat,Low,FALSE,FALSE,2022-05-17T05:55:37Z,2022-05-17T20:07:32Z,-0.626033313867871,-0.7797963131020894
BRAD,20220526_BRAD_R_06563.JPG,20220526_BRAD_R,Reference,2022-05-18T03:29:01Z,Mesomammal,Raccoon,1,VegetationEdge,Mid,FALSE,FALSE,2022-05-18T05:54:52Z,2022-05-18T20:08:21Z,0.7100360884820808,0.704165288162564
BRAD,20220526_BRAD_R_06564.JPG,20220526_BRAD_R,Reference,2022-05-18T03:30:01Z,Mesomammal,Raccoon,1,VegetationEdge,Mid,TRUE,FALSE,2022-05-18T05:54:52Z,2022-05-18T20:08:21Z,0.7137977520774693,0.7003518895020928
BRAD,20220526_BRAD_R_07438.JPG,20220526_BRAD_R,Reference,2022-05-18T17:59:01Z,Shorebird,Spotted Sandpiper,1,Mudflat,Low,FALSE,FALSE,2022-05-18T05:54:52Z,2022-05-18T20:08:21Z,-0.8888013710037656,-0.45829261711468433
BRAD,20220526_BRAD_R_07439.JPG,20220526_BRAD_R,Reference,2022-05-18T18:00:02Z,Shorebird,Spotted Sandpiper,1,Mudflat,Low,FALSE,FALSE,2022-05-18T05:54:52Z,2022-05-18T20:08:21Z,-0.8905102246355192,-0.4549632290851615
BRAD,20220526_BRAD_R_07440.JPG,20220526_BRAD_R,Reference,2022-05-18T18:01:01Z,Shorebird,Spotted Sandpiper,1,Mudflat,Low,FALSE,FALSE,2022-05-18T05:54:52Z,2022-05-18T20:08:21Z,-0.8921511855803838,-0.45173693901153994
BRAD,20220526_BRAD_R_07441.JPG,20220526_BRAD_R,Reference,2022-05-18T18:02:01Z,Shorebird,Spotted Sandpiper,1,Mudflat,Low,FALSE,FALSE,2022-05-18T05:54:52Z,2022-05-18T20:08:21Z,-0.8938079717519106,-0.44844989645749256
BRAD,20220526_BRAD_R_07442.JPG,20220526_BRAD_R,Reference,2022-05-18T18:03:01Z,Shorebird,Spotted Sandpiper,1,Mudflat,Low,FALSE,FALSE,2022-05-18T05:54:52Z,2022-05-18T20:08:21Z,-0.8954526471926235,-0.44515677759158395
BRAD,20220526_BRAD_R_07598.JPG,20220526_BRAD_R,Reference,2022-05-18T20:37:01Z,Wading Bird,Yellow-crowned Night Heron,1,Mudflat,Low,FALSE,FALSE,2022-05-18T05:54:52Z,2022-05-18T20:08:21Z,-0.988235178650765,0.15294192256242406
BRAD,20220526_BRAD_R_07599.JPG,20220526_BRAD_R,Reference,2022-05-18T20:38:01Z,Wading Bird,Yellow-crowned Night Heron,1,Mudflat,Low,FALSE,FALSE,2022-05-18T05:54:52Z,2022-05-18T20:08:21Z,-0.9874018186374539,0.15823289339277277
BRAD,20220526_BRAD_R_07606.JPG,20220526_BRAD_R,Reference,2022-05-18T20:45:01Z,Wading Bird,Yellow-crowned Night Heron,1,Mudflat,Low,FALSE,FALSE,2022-05-18T05:54:52Z,2022-05-18T20:08:21Z,-0.9807765715619088,0.19513409921197283
BRAD,20220526_BRAD_R_07607.JPG,20220526_BRAD_R,Reference,2022-05-18T20:46:00Z,Wading Bird,Yellow-crowned Night Heron,1,Mudflat,Low,FALSE,FALSE,2022-05-18T05:54:52Z,2022-05-18T20:08:21Z,-0.9797352141175824,0.20029705494084302
BRAD,20220526_BRAD_R_07608.JPG,20220526_BRAD_R,Reference,2022-05-18T20:47:00Z,Wading Bird,Yellow-crowned Night Heron,1,Mudflat,Low,FALSE,FALSE,2022-05-18T05:54:52Z,2022-05-18T20:08:21Z,-0.9786483334570087,0.20554181915566316
BRAD,20220526_BRAD_R_07609.JPG,20220526_BRAD_R,Reference,2022-05-18T20:48:01Z,Wading Bird,Yellow-crowned Night Heron,1,Mudflat,Low,FALSE,FALSE,2022-05-18T05:54:52Z,2022-05-18T20:08:21Z,-0.9775145561864204,0.21086795025244023
BRAD,20220526_BRAD_R_07610.JPG,20220526_BRAD_R,Reference,2022-05-18T20:49:00Z,Wading Bird,Yellow-crowned Night Heron,1,Mudflat,Low,FALSE,FALSE,2022-05-18T05:54:52Z,2022-05-18T20:08:21Z,-0.9763903752039853,0.2160135070059761
BRAD,20220526_BRAD_R_07634.JPG,20220526_BRAD_R,Reference,2022-05-18T21:12:00Z,Wading Bird,Yellow-crowned Night Heron,1,Mudflat,Mid,FALSE,FALSE,2022-05-18T05:54:52Z,2022-05-18T20:08:21Z,-0.9424466442079973,0.33435658034661836
BRAD,20220526_BRAD_R_07640.JPG,20220526_BRAD_R,Reference,2022-05-18T21:18:01Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Mid,FALSE,FALSE,2022-05-18T05:54:52Z,2022-05-18T20:08:21Z,-0.9311840219149891,0.3645494717184832
BRAD,20220526_BRAD_R_07701.JPG,20220526_BRAD_R,Reference,2022-05-18T22:19:00Z,Mesomammal,Raccoon,1,VegetationEdge,Mid,FALSE,FALSE,2022-05-18T05:54:52Z,2022-05-18T20:08:21Z,-0.7649786433055719,0.644055646110153
BRAD,20220526_BRAD_R_10577.JPG,20220526_BRAD_R,Reference,2022-05-20T22:01:00Z,Mesomammal,Raccoon,1,Mudflat,Low,FALSE,FALSE,2022-05-20T05:53:27Z,2022-05-20T20:09:58Z,-0.8265708101006504,0.5628327423751701
BRAD,20220526_BRAD_R_11880.JPG,20220526_BRAD_R,Reference,2022-05-21T19:34:02Z,Wading Bird,Yellow-crowned Night Heron,1,Mudflat,Low,FALSE,FALSE,2022-05-21T05:52:47Z,2022-05-21T20:10:46Z,-0.9909677751708326,-0.13410021839270178
BRAD,20220526_BRAD_R_11881.JPG,20220526_BRAD_R,Reference,2022-05-21T19:35:02Z,Wading Bird,Yellow-crowned Night Heron,1,Mudflat,Low,FALSE,FALSE,2022-05-21T05:52:47Z,2022-05-21T20:10:46Z,-0.9914521617465383,-0.13047072839574436
